   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time, bubble_cmp, bubble_swaps, bubble_time
   0,             0,               0,              0,         0,           0,          1,         0,           0,          0,             0,               0,              0,          0,            0,           0
   1,             0,               0,              0,         0,           0,          0,         0,           0,          0,             1,               0,              2,          0,            0,           0
   2,             1,               0,              0,         2,           2,          4,         1,           0,          1,             3,               0,              1,          1,            0,           0
   3,             3,               2,              1,         3,           4,          4,         3,           0,          3,             6,               2,              2,          3,            2,           1
   4,             4,               2,              1,         7,           5,          4,         5,           0,          5,            10,               2,              4,          6,            2,           2
   5,             5,               2,              2,        12,           8,          7,         6,           0,          5,            15,               2,              5,         10,            2,           4
   6,             6,               2,              3,        16,           9,          9,         8,           0,          9,            21,               2,              5,         15,            2,           5
   7,             7,               2,              2,        14,          10,          8,        10,           0,         10,            28,               2,              8,         21,            2,           6
   8,             8,               2,              2,        17,          10,          8,        13,           0,         10,            36,               2,              9,         28,            2,           7
   9,             9,               2,              3,        22,          11,         10,        14,           0,         10,            45,               2,             10,         36,            2,           8
  10,            10,               2,              2,        25,          13,         10,        16,           0,         13,            55,               2,             11,         45,            2,          10
  11,            11,               2,              3,        32,          16,         13,        18,           0,         14,            66,               2,             14,         55,            2,          10
  12,            13,               3,              3,        36,          18,         15,        21,           0,         16,            78,               3,             15,         66,            3,          14
  13,            14,               3,              4,        41,          19,         18,        24,           0,         18,            91,               3,             18,         78,            3,          15
  14,            15,               3,              4,        46,          20,         18,        26,           0,         19,           105,               3,             21,         91,            3,          17
  15,            16,               3,              3,        46,          21,         18,        30,           0,         21,           120,               3,             24,        105,            3,          20
  16,            17,               3,              5,        51,          23,         21,        33,           0,         24,           136,               3,             26,        120,            3,          22
  17,            19,               4,              5,        51,          22,         20,        34,           0,         25,           153,               4,             29,        136,            4,          25
  18,            20,               4,              5,        60,          24,         24,        38,           0,         26,           171,               4,             31,        153,            4,          28
  19,            21,               4,              5,        66,          26,         25,        40,           0,         27,           190,               4,             43,        171,            4,          34
  20,            23,               5,              7,        66,          27,         27,        41,           0,         36,           210,               5,             46,        190,            5,          37
  21,            25,               6,              6,        78,          30,         30,        45,           0,         34,           231,               6,             44,        210,            6,          40
  22,            26,               6,              7,        84,          31,         32,        50,           0,         35,           253,               6,             56,        231,            6,          45
  23,            27,               6,              6,        86,          31,         34,        51,           0,         37,           276,               6,             53,        253,            6,          47
  24,            28,               6,              6,        91,          34,         35,        55,           0,         39,           300,               6,             60,        276,            6,          59
  25,            29,               6,             10,        97,          36,         37,        57,           0,         41,           325,               6,             72,        300,            6,          58
  26,            31,               7,              7,       102,          38,         41,        62,           0,         42,           351,               7,             66,        325,            7,          59
  27,            33,               8,              7,       110,          38,         43,        65,           0,         44,           378,               8,             71,        351,            8,          64
  28,            36,              10,             10,       115,          38,         42,        67,           0,         48,           406,               8,             76,        378,           10,          69
  29,            37,              10,              9,       116,          41,         45,        73,           0,         55,           435,               8,             88,        406,           10,          77
  30,            38,              10,              9,       123,          42,         48,        77,           0,         54,           465,               8,             89,        435,           10,          82
  31,            40,              11,             10,       130,          44,         51,        81,           0,         56,           496,               9,             95,        465,           11,          87
  32,            41,              11,              9,       137,          47,         54,        85,           0,         58,           528,               9,            101,        496,           11,          96
  33,            42,              11,             10,       140,          45,         57,        86,           0,         59,           561,               9,            103,        528,           11,         104
  34,            43,              11,             10,       146,          47,         56,        89,           0,         61,           595,               9,            113,        561,           11,         103
  35,            45,              12,             11,       143,          48,         53,        90,           0,         62,           630,              10,            116,        595,           12,         107
  36,            46,              12,             14,       147,          48,         53,        95,           0,         63,           666,              10,            115,        630,           12,         107
  37,            47,              12,             10,       160,          53,         56,        98,           0,         63,           703,              10,            124,        666,           12,         122
  38,            48,              12,             11,       166,          54,         59,       101,           0,         65,           741,              10,            128,        703,           12,         118
  39,            49,              12,             11,       172,          53,         58,       105,           0,         66,           780,              10,            133,        741,           12,         123
  40,            51,              13,             11,       179,          56,         61,       107,           0,         68,           820,              11,            139,        780,           13,         129
  41,            52,              13,             12,       188,          57,         64,       110,           0,         69,           861,              11,            147,        820,           13,         136
  42,            53,              13,             13,       194,          59,         66,       112,           0,         75,           903,              11,            184,        861,           13,         180
  43,            54,              13,             20,       196,          59,         84,       116,           0,        102,           946,              11,            200,        903,           13,         150
  44,            55,              13,             13,       200,          59,         68,       121,           0,         75,           990,              11,            169,        946,           13,         157
  45,            56,              13,             13,       206,          59,         68,       125,           0,         77,          1035,              11,            205,        990,           13,         164
  46,            57,              13,             13,       219,          63,         73,       125,           0,         79,          1081,              11,            194,       1035,           13,         173
  47,            59,              14,             13,       215,          62,         72,       131,           0,         80,          1128,              12,            205,       1081,           14,         178
