   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time, bubble_cmp, bubble_swaps, bubble_time
   0,             0,               0,              1,         0,           0,          0,         0,           0,          0,             0,               0,              0,          0,            0,           0
   1,             0,               0,              0,         0,           0,          0,         0,           0,          0,             1,               0,              0,          0,            0,           0
   2,             1,               0,              0,         2,           2,          2,         1,           0,          0,             3,               0,              0,          1,            0,           0
   3,             3,               1,              1,         4,           4,          2,         2,           0,          3,             6,               1,              2,          3,            1,           0
   4,             4,               1,              1,         8,           5,          4,         5,           0,          3,            10,               1,              1,          6,            1,           1
   5,             8,               4,              1,        10,           7,          3,         8,           0,          5,            15,               2,              4,         10,            4,           3
   6,            11,               6,              2,        15,           8,          8,        10,           0,          8,            21,               2,              4,         15,            6,           3
   7,            16,              10,              4,        20,          10,          5,        13,           0,          6,            28,               4,              5,         21,           10,           4
   8,            20,              13,              4,        23,          11,          6,        16,           0,          7,            36,               5,              6,         28,           13,           5
   9,            26,              18,              4,        29,          14,          7,        19,           0,          9,            45,               6,              6,         36,           18,           6
  10,            28,              19,              5,        34,          16,          9,        25,           0,         10,            55,               7,              6,         45,           19,           7
  11,            30,              20,              6,        39,          18,         10,        27,           0,         12,            66,               8,              8,         55,           20,           9
  12,            33,              22,              5,        42,          17,         10,        28,           0,         13,            78,               8,             10,         66,           22,          10
  13,            34,              22,              6,        51,          21,         13,        32,           0,         13,            91,               8,             11,         78,           22,          11
  14,            42,              29,              8,        65,          23,         15,        38,           0,         14,           105,               9,             13,         91,           29,          12
  15,            51,              37,             10,        56,          26,         13,        42,           0,         16,           120,              11,             15,        105,           37,          15
  16,            62,              47,             11,        62,          24,         15,        46,           0,         19,           136,              13,             16,        120,           47,          18
  17,            78,              62,             14,        75,          27,         18,        51,           0,         20,           153,              12,             18,        136,           62,          20
  18,            91,              74,             17,        85,          31,         20,        53,           0,         21,           171,              16,             20,        153,           74,          24
  19,            96,              78,             18,        99,          35,         22,        59,           0,         24,           190,              16,             22,        171,           78,          25
  20,           110,              91,             21,       103,          35,         22,        66,           0,         25,           210,              17,             24,        190,           91,          28
  21,           128,             108,             25,       105,          33,         21,        72,           0,         26,           231,              18,             34,        210,          108,          34
  22,           131,             110,             32,       111,          34,         30,        75,           0,         30,           253,              18,             30,        231,          110,          37
  23,           132,             110,             27,       118,          41,         27,        76,           0,         32,           276,              18,             31,        253,          110,          41
  24,           154,             131,             32,       115,          41,         27,        80,           0,         34,           300,              19,             34,        276,          131,          46
  25,           176,             152,             38,       152,          40,         30,        84,           0,         35,           325,              16,             36,        300,          152,          50
  26,           189,             164,             41,       144,          36,         30,        92,           0,         38,           351,              20,             41,        325,          164,          55
  27,           213,             187,             46,       138,          49,         33,        95,           0,         38,           378,              21,             42,        351,          187,          59
  28,           235,             208,             51,       155,          57,         36,       104,           0,         40,           406,              24,             45,        378,          208,          63
  29,           250,             222,             51,       161,          58,         37,       108,           0,         41,           435,              26,             51,        406,          222,          66
  30,           266,             237,             62,       158,          56,         38,       113,           0,         45,           465,              27,             54,        435,          237,          74
  31,           275,             245,             59,       177,          56,         39,       117,           0,         51,           496,              27,             57,        465,          245,          80
  32,           286,             255,             61,       181,          59,         44,       120,           0,         52,           528,              29,             59,        496,          255,          93
  33,           312,             280,             68,       232,          60,         49,       126,           0,         50,           561,              30,             73,        528,          280,         100
