  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, selection_cmp, selection_swaps, selection_time, bubble_cmp, bubble_swaps, bubble_time
  0,             0,               0,              1,         0,           0,          1,         0,           0,          0,             0,               0,              0,          0,            0,           0
  1,             0,               0,              0,         0,           0,          0,         0,           0,          0,             1,               0,              1,          0,            0,           0
  2,             1,               1,              2,         1,           2,          2,         1,           0,          2,             3,               1,              2,          1,            1,           0
  3,             2,               1,              1,         4,           4,          3,         3,           0,          4,             6,               1,              3,          3,            1,           0
  4,             4,               2,              0,         7,           6,          5,         4,           0,          5,            10,               2,              4,          6,            2,           3
  5,             5,               2,              2,        11,           7,          6,         6,           0,          6,            15,               2,              4,         10,            2,           3
  6,            10,               6,              3,        15,           8,          7,        11,           0,         10,            21,               4,              5,         15,            6,           5
  7,            13,               8,              4,        19,          10,         10,        14,           0,         11,            28,               4,             13,         21,            8,           6
  8,            20,              15,              8,        22,          12,         11,        16,           0,         15,            36,               5,             10,         28,           15,          10
  9,            26,              20,             10,        30,          14,         13,        20,           0,         16,            45,               6,             12,         36,           20,          11
 10,            34,              27,             11,        38,          14,         17,        21,           0,         18,            55,               7,             15,         45,           27,          15
 11,            40,              32,             14,        41,          17,         17,        26,           0,         21,            66,               8,             17,         55,           32,          18
 12,            44,              35,             16,        46,          19,         20,        31,           0,         25,            78,               9,             20,         66,           35,          20
 13,            55,              45,             20,        56,          23,         24,        36,           0,         26,            91,               9,             21,         78,           45,          25
 14,            59,              48,             20,        57,          25,         24,        36,           0,         27,           105,              10,             24,         91,           48,          27
 15,            67,              55,             24,        71,          27,         28,        41,           0,         30,           120,              11,             28,        105,           55,          31
 16,            70,              57,             24,        80,          26,         33,        45,           0,         34,           136,              13,             30,        120,           57,          35
 17,            83,              69,             30,        72,          32,         31,        50,           0,         36,           153,              11,             34,        136,           69,          41
 18,            92,              77,             33,        78,          30,         31,        56,           0,         41,           171,              11,             36,        153,           77,          44
 19,            95,              79,             35,        87,          35,         36,        59,           0,         43,           190,              11,             42,        171,           79,          48
 20,           114,              98,             41,        98,          36,         40,        62,           0,         46,           210,              16,             46,        190,           98,          55
 21,           133,             116,             48,        97,          37,         40,        67,           0,         48,           231,              16,             48,        210,          116,          62
 22,           154,             136,             56,       104,          41,         41,        70,           0,         51,           253,              18,             53,        231,          136,          72
 23,           168,             149,             62,       120,          41,         47,        79,           0,         56,           276,              21,             58,        253,          149,          77
 24,           182,             162,             66,       123,          44,         47,        84,           0,         57,           300,              22,             64,        276,          162,          82
 25,           198,             177,             72,       140,          48,         54,        90,           0,         60,           325,              21,             68,        300,          177,          89
 26,           211,             189,             78,       150,          49,         56,        88,           0,         62,           351,              23,             74,        325,          189,          97
 27,           235,             212,             86,       162,          50,         58,        97,           0,         66,           378,              24,             77,        351,          212,         105
 28,           241,             217,             91,       167,          52,         59,        99,           0,         66,           406,              23,             81,        378,          217,         108
 29,           248,             223,             87,       167,          62,         64,       103,           0,         69,           435,              25,             86,        406,          223,         113
 30,           255,             229,             90,       176,          61,         64,       111,           0,         71,           465,              27,             90,        435,          229,         118
 31,           268,             241,             95,       195,          59,         67,       113,           0,         72,           496,              27,             97,        465,          241,         126
 32,           280,             252,            100,       220,          62,         75,       121,           0,         75,           528,              26,            102,        496,          252,         134
 33,           293,             264,            105,       185,          68,         69,       126,           0,         78,           561,              26,            109,        528,          264,         142
 34,           321,             291,            114,       218,          62,         73,       133,           0,         84,           595,              31,            114,        561,          291,         153
 35,           329,             298,            117,       224,          68,         78,       138,           0,         86,           630,              32,            125,        595,          298,         159
